표준단어명,표준단어 설명
포지션,할당받은 역할상의 위치(물리적인 위치는 LOCATION을 사용함)
순시,돌아다니며 사정을 보살핌
파트너,짝이 되어 함께 일하는 상대
공중,公衆 여러 대중이 모여사는 집단 또는 사회
문항당,문제의 항목 마다
정량적,자료를 수치화하여 구체적으로 표현할 수 있는 방식으로 정성적(자료의 성질， 특징을 자세히 풀어쓰는 방식)의 반대 개념
질의,의문이 있거나 모르는 것을 물음
질문자,모르거나 의심나는 점을 묻는 사람
추천자,推薦者 좋거나 알맞다고 생각되는 물건을 남에게 권하는 사람
추천인,推薦者 좋거나 알맞다고 생각되는 물건을 남에게 권하는 사람
추천,推薦. 어떤 조건에 적합한 대상을 책임지고 소개함
수납,收納. 돈이나 물품을 받아들임
감축,덜어서 줄임
읽음,1. 글이나 글자르 보고 그 음대로 소리 내어 말로 나타냄
,
,
녹취,대화나 방송 따위의 내용을 녹음함
기록용,기록하기 위한 용도
참조,參照. 참고로 비교하고 대조하여 봄
등재,일정한 사항을 장부나 대장에 올림
청구인,남에게 돈이나 물건 따위를 달라고 요구하는 사람
휴양,1. 편안히 쉬면서 몸과 마음을 보양함
,
규제,국민과 기업의 활동에 제한을 가하는 일체의 행정 조치를 말한다. 행정규제에는 독점 금지와 같이 경제활동에 제한을 가하는 경제적 규제와 환경오염 방지와 같은 사회적 규제가 있다
지역,地域. 전체 사회를 어떤 위치상， 지리상의 특징으로 나눈 일정한 공간 영역
지역별,토지의 구역. 땅의 경계. 또는 그 안의 땅마다
영역,활동，기능，효과 ，관심따위가 미치는 일정한 범위
현실,1. 현재 실제로 존재하는 사실이나 상태
,
,
나머지,1. 어떤 한도에 차고 남은 부분
,
,
잔여,남아 있음. 또는 그런 나머지
회신,回信. 편지， 전신， 전화 따위로 회답을 함
대표,代表. 전체의 상태나 성질을 어느 하나로 잘 나타냄. 또는 그런 것
피신청인,관청이나 기관， 단체로부터 어떤 사항을 요청 받은 사람
주거,일정한 곳에 머물러 삶. 또는 그런 집
주민,일정한 지역에 살고 있는 사람
재설정,다시 만들어 정해 둠
결과물,어떤 원인으로 생긴 결말의 상태
이유,理由. 어떠한 결론이나 결과에 이른 까닭이나 근거
자원,관리회계제도에서 인적(人的)， 물적(物的) 자원의 총칭. 기술의 발전에 따라 생산에 이용되는 제 요소를 말하며， 일반적으로 인력， 자본， 시설 및 물자를 말함
요율,요금의 정도나 비율
규칙,規則 여러 사람이 다 같이 지키기로 작정한 법칙. 또는 제정된 질서. 헌법이나 법률에 입각하여 정립되는 제정법의 한 형식
운전용,기계나 자동차 따위를 움직여 부리는 용도
운전,기계나 자동차 따위를 움직여 부림
표본,標本 여러 통계 자료를 포함하는 집단 속에서 그 일부를 뽑아내어 조사한 결과로써 본디의 집단의 성질을 추측할 수 있는 통계적 소집단
권역,圈域. 어떤 특정한 범위 안의 지역
과목별,科目. 가르치거나 배워야 할 지식 및 경험의 체계를 세분하여 계통을 세운 영역(주의: 계정과목， 예산과목과는 상이함)) 마다
물적,물질적인 것
규모별,규모에 따른， 규모마다의
보안성,안전을 유지하는 성질. 또는 그 정도
자체,자기 자신， 본인， 스스로
자가,자기 자신， 본인， 스스로
매각,물건을 팔아버림
소프트웨어,컴퓨터를 동작시키고 컴퓨터에 어떤 일을 처리할 순서와 방법을 지시하는 명령어의 집합인 프로그램과 프로그램의 수행에 필요한 절차， 규칙， 관련 문서 등의 총칭
안전성,안전하거나 안전을 보장하는 성질
사인,자기만의 독특한 방법으로 자신의 이름을 적음. 또는 그렇게 적은 문자
공유용,함께 나누기 위한 용도
나눔,나누는 일. 또는 그 대상
미달,어떤 한도에 이르거나 미치지 못함
기호,무슨 뜻을 나타내기 위하여 적는 부호·문자·표시 따위의 총칭
고체,일정한 모양과 부피가 있으며 쉽게 변형되지 않는 물질의 상태. 나무， 돌， 쇠， 얼음 따위의 상태이다
하계,여름의 시기
요약,말이나 글의 요점을 잡아서 간추림
시방서,시공 또는 제조 등의 계약목적물 이행과정에서 요구되는 기술적인 사항을 설명한 문서
특수,보통과는 다르게 관리하는， 혹은 그러한 경우
보완,모자라거나 부족한 것을 보충하여 완전하게 함
전문,한 분야에 대해 풍부하고 깊이 있는 지식과 경험을 가지고 그 일만을 함
보급,물자나 자금 따위를 계속해서 대어줌
감리원,감리에 관한 기술 또는 기능을 가진 사람
출처,사물이나 말 따위가 생기거나 나온 근거
초,한시간의 3，600분의 1이 되는 동안을 세는 단위
교육생,교육을 받는 학생
단계,일의 차례를 따라 나아가는 과정
정지,움직이고 있던 것이 멈추거나 그침. 또는 멈추게 함
중단,1. 중도에서 끊어지거나 끊음
,
기점,어떠한 것이 처음으로 일어나거나 시작되는 곳
구조물,構造物. 일정한 설계에 따라 여러 가지 재료를 얽어서 만든 물건. 건물， 다리， 축대， 터널 따위가 있다
서브,위치나 지위 상의 관계에서 하위의
합계분,한데 합하여 계산함. 또는 그런 수효
시스템별,시스템(필요한 기능을 실현하기 위하여 관련 요소를 어떤 법칙에 따라 조합한 집합체)에 따른， 시스템마다
태그,1. 어떤 정보의 메타데이터로 부여된 키워드 또는 분류
,
업무용,직업상 맡아서 하는 일의 용도
직무,직책이나 직업상에서 책임을 지고 담당하여 맡은 사무
업무별,직업상 맡아서 하는 일의 구별
테이블,1. 식탁 ， 탁자
,
,
팀,같은 일에 종사하는 한 무리의 사람， 또는 조직
기술,과학 이론을 실제로 적용하여 사물을 인간 생활에 유용하도록 가공하는 수단
시험용,시험에 사용되는 사물
물건,物件. 일정한 형체를 갖춘 모든 물질적 대상
팀장,같은 일에 종사하는 한 팀의 책임자
동향,動向 사람의 마음이나 어떤 사물의 정세·상태 따위의 움직임， 또는 그것들이 움직여 가는 방향
툴,1. 자체로 어떤 일을 처리하는데 사용하기 보다는 다른 일을 처리하는데 보조적인 역할을 하는 도구 또는 소프트웨어
,
공구,1. 자체로 어떤 일을 처리하는데 사용하기 보다는 다른 일을 처리하는데 보조적인 역할을 하는 도구 또는 소프트웨어
,
유형,類型. 성질이나 특징 따위가 공통적인 것끼리 묶은 하나의 틀. 또는 그 틀에 속하는 것
주제,대화나 연구 따위에서 중심이 되는 문제
이관용,관할을 옮김. 또는 옮기어 관할하기 위한 용도의
회차별,회차에 따른 구별
당해,이번 년도
당년,일이 있는 바로 그 해. 지금 지나가고 있는 이 해
해당년,무엇에 관계되는 바로 그 연도
단위당,길이，무게，수효，시간 따위의 수량을 수치로 나타낼때 기초가 되는 일정한 기준 마다
단위별,단위(길이，무게，수효，시간 따위의 수량을 수치로 나타낼때 기초가 되는 일정한 기준) 마다
미등기,아직 등기를 하지 아니함
단가,單價. 물건 한 단위(單位)의 가격
사용중,일정한 목적이나 기능에 맞게 쓰는 중인
사용분,일정한 목적이나 기능에 맞게 사용한 분량
값,1. 사고파는 물건에 일정하게 매겨진 액수
,
동영상,動映像. 컴퓨터 모니터의 화상이 텔레비전의 화상처럼 움직이는 것
차량,車輛. 도로나 선로 위를 달리는 모든 차를 통틀어 이르는 말
유효,有效. 보람이나 효과가 있음， 법률적 행위가 당사자나 법률이 의도한 본래의 효과가 있음
체적,입체가 공간 속에서 차지하는 크기
환기,탁한 공기를 맑은 공기로 바꿈
환풍,건물 안의 탁한 공기를 밖의 맑은 공기와 바꿈
가상,사실이 아니거나 사실 여부가 분명하지 않은 것을 사실이라고 가정하여 생각함
증명서류,그것의 진위를 증거를 들어서 밝히는 서류
증명서,그것의 진위를 증거를 들어서 밝히는 서류
폭,1. 평면이나 넓은 물체의 가로로 건너지른 거리
,
중량,물건의 무거운 정도. 어떤 물체에 작용하는 중력의 크기. 단위는 뉴턴(N)
동계,겨울의 시기
쓰기,1. 사람의 생각이나 느낌을 글로 표현하는 일
,
작성중,서류， 원고 따위의 문서 등을 작성하고 있는
폐기물,못쓰게 되어 버리는 물건
기상,대기중에서 일어나는 물리적인 현상을 통틀어 이르는 말. 바람， 구름， 비， 눈， 더위， 추위 따위를 포괄적으로 표현함
일기,그날그날의 비， 구름， 바람， 기온 따위가 나타나는 기상상태
수계,지표의 물이 점차로 모여서 같은 물줄기를 이루는 계통
증설시,장비， 설치， 기관 따위를 더 늘려 갖추는 작업을 수행할 당시
연월별,년월(특정일자의 년도와 월도) 마다의
유무,있음과 없음
연도별,연도 마다의
년,年度. 일정한 기간 단위로서의 그 해. 1년은 약 365.25일
연도,年度. 일정한 기간 단위로서의 그 해
1년차,1번째의 해
2년,2년(해를 세는 단위. 1년은 약 365.25일)
3년,3년(해를 세는 단위. 1년은 약 365.25일)
4년,4년(해를 세는 단위. 1년은 약 365.25일)
5년,5년(해를 세는 단위. 1년은 약 365.25일)
구역분,갈라놓은 지역별 분량
길,사람， 차 따위가 잘 다닐 수 있도록 만들어 놓은 비교적 넓은 길
률,다른 수나 양에 대한 어떤 수나 양의 비(比)
율,다른 수나 양에 대한 어떤 수나 양의 비(比)
전,以前. 기준이 되는 때를 포함하여 그보다 앞
책,圖書. 일정한 목적， 내용， 체재에 맞추어 사상， 감정， 지식 따위를 글이나 그림으로 표현하여 적거나 인쇄하여 묶어 놓은 것(책)
후,以後. 기준이 되는 때를 포함하여 그보다 뒤
가구,현실적으로 주거 및 생계를 같이하는 사람의 집단
관련,둘 이상의 사람， 사물， 현상 따위가 서로 관련을 맺거나 관련이 있음， 또는 그런 관련
구입,購買. 물건 따위를 사들임
나라,國家. 일정한 영토와 거기에 사는 사람들로 구성되고， 주권(主權)에 의한 하나의 통치 조직을 가지고 있는 사회 집단
나이,사람이나 동·식물 따위가 세상에 나서 살아온 햇수
년도,年度. 일정한 기간 단위로서의 그 해
년월,年月. 특정 연도와 월을 아울러 이르는 말
노드,交點. 서로 만나는 점. 데이터 통신망에서， 데이터를 전송하는 통로에 접속되는 하나 이상의 기능 단위. 주로 통신망의 분기점이나 단말기의 접속점을 이른다
링크,連結. 사물과 사물을 서로 잇거나 현상과 현상이 관계를 맺게 함. 두 개의 프로그램을 결합하는 일. 또는 그런 방법
매입,購買. 물건 따위를 사들임
명수,人員數. 사람의 수효
명칭,다른 것과 구별하기 위하여 사물， 단체， 현상 따위에 붙여 부르는 말. 이름
부제,副題目. 서적， 논문， 문예 작품 따위의 제목에 덧붙어 그것을 보충하는 제목
사원,일정한 직장에 근무하는 사람을 통틀어 이르는 말
세부,詳細. 낱낱이 자세함
소재,所在地. 주요 건물이나 기관 등이 자리 잡고 있는 곳
송신,電送. 통신회선을 이용하여 보냄
수령,收納. 돈이나 물품을 받아들임
순번,一連番號. 일률적으로 연속되어 있는 번호
연관,둘 이상의 사람， 사물， 현상 따위가 서로 관련을 맺거나 관련이 있음， 또는 그런 관련
연번,一連番號. 일률적으로 연속되어 있는 번호
위배,違反 법률， 명령， 약속 따위를 지키지 않고 어김
유관,둘 이상의 사람， 사물， 현상 따위가 서로 관련을 맺거나 관련이 있음， 또는 그런 관련
이름,다른 것과 구별하기 위하여 사물， 단체， 현상 따위에 붙여 부르는 말. 이름
이수,일정한 학과를 다 배워 끝냄
일터,職場. 사람들이 일정한 직업을 가지고 일하는 곳
혼인,結婚 남녀가 정식으로 부부 관계를 맺음
글쓴이,著者. 글로 써서 책을 지어 낸 사람
